month	high	low	tot_precip	tot_sun	days
Jan	1.2	-4.0	72.6	16	31
Feb	1.8	-3.7	67.9	52	28
Mar	4.2	-2.2	72.2	124	31
Apr	8.8	1.5	51.5	162	30
May	13.7	5.3	43.4	204	31
Jun	16.3	8.5	70.8	180	30
Jul	19.0	11.4	75.6	181	31
Aug	18.0	10.8	79.6	174	31
Sep	14.6	7.9	84.2	119	30
Oct	8.9	3.0	78.4	72	31
Nov	4.7	-0.5	66.8	29	30
Dec	2.1	-3.3	78.1	8	31
